Start Date           |Stop Date            |Center Point             
20 Sep 2000, 01:35:00|20 Sep 2000, 01:40:00|-75.25 Lat, 46.56 Lon;   
20 Sep 2000, 08:15:00|20 Sep 2000, 08:20:00|-74.35 Lat, -48.44 Lon;  
20 Sep 2000, 09:55:00|20 Sep 2000, 10:00:00|-70.08 Lat, -88.76 Lon;  
20 Sep 2000, 11:30:00|20 Sep 2000, 11:35:00|-80.99 Lat, 80.62 Lon;   
20 Sep 2000, 11:35:00|20 Sep 2000, 11:40:00|-68.28 Lat, 17.73 Lon;   
20 Sep 2000, 13:10:00|20 Sep 2000, 13:15:00|-76.62 Lat, -1.64 Lon;   
20 Sep 2000, 13:15:00|20 Sep 2000, 13:20:00|-66.76 Lat, 36.92 Lon;   
20 Sep 2000, 14:50:00|20 Sep 2000, 14:55:00|-74.24 Lat, 7.85 Lon;    
20 Sep 2000, 16:25:00|20 Sep 2000, 16:30:00|-74.25 Lat, 24.07 Lon;   
20 Sep 2000, 16:30:00|20 Sep 2000, 16:35:00|-73.12 Lat, 110.63 Lon;  
20 Sep 2000, 18:05:00|20 Sep 2000, 18:10:00|-74.16 Lat, -10.64 Lon;  
20 Sep 2000, 19:40:00|20 Sep 2000, 19:45:00|-70.03 Lat, -32.49 Lon;  
20 Sep 2000, 19:45:00|20 Sep 2000, 19:50:00|-83.57 Lat, -84.77 Lon;  
20 Sep 2000, 21:20:00|20 Sep 2000, 21:25:00|-71.89 Lat, -16.08 Lon;  
20 Sep 2000, 23:00:00|20 Sep 2000, 23:05:00|-74.53 Lat, -37.03 Lon;  
21 Sep 2000, 00:35:00|21 Sep 2000, 00:40:00|-64.41 Lat, 134.91 Lon;  
21 Sep 2000, 00:40:00|21 Sep 2000, 00:45:00|-75.72 Lat, 62.16 Lon;   
21 Sep 2000, 07:20:00|21 Sep 2000, 07:25:00|-72.98 Lat, -111.54 Lon; 
21 Sep 2000, 09:00:00|21 Sep 2000, 09:05:00|-70.19 Lat, -134.81 Lon; 
21 Sep 2000, 10:35:00|21 Sep 2000, 10:40:00|-77.44 Lat, 45.63 Lon;   
21 Sep 2000, 10:40:00|21 Sep 2000, 10:45:00|-66.35 Lat, 28.33 Lon;   
21 Sep 2000, 12:15:00|21 Sep 2000, 12:20:00|-75.74 Lat, 6.82 Lon;    
21 Sep 2000, 12:20:00|21 Sep 2000, 12:25:00|-62.91 Lat, -1.27 Lon;   
21 Sep 2000, 13:55:00|21 Sep 2000, 14:00:00|-73.85 Lat, 25.69 Lon;   
21 Sep 2000, 15:30:00|21 Sep 2000, 15:35:00|-72.14 Lat, -109.72 Lon; 
21 Sep 2000, 15:35:00|21 Sep 2000, 15:40:00|-71.96 Lat, 5.39 Lon;    
21 Sep 2000, 17:10:00|21 Sep 2000, 17:15:00|-74.10 Lat, -5.62 Lon;   
21 Sep 2000, 18:45:00|21 Sep 2000, 18:50:00|-71.54 Lat, -19.57 Lon;  
21 Sep 2000, 18:50:00|21 Sep 2000, 18:55:00|-70.19 Lat, 123.74 Lon;  
21 Sep 2000, 20:25:00|21 Sep 2000, 20:30:00|-73.55 Lat, -1.84 Lon;   
21 Sep 2000, 22:00:00|21 Sep 2000, 22:05:00|-62.31 Lat, -12.27 Lon;  
21 Sep 2000, 22:05:00|21 Sep 2000, 22:10:00|-75.48 Lat, -20.39 Lon;  
21 Sep 2000, 23:40:00|21 Sep 2000, 23:45:00|-66.43 Lat, 147.43 Lon;  
21 Sep 2000, 23:45:00|21 Sep 2000, 23:50:00|-75.95 Lat, 75.39 Lon;   
22 Sep 2000, 01:20:00|22 Sep 2000, 01:25:00|-69.67 Lat, 120.67 Lon;  
22 Sep 2000, 08:00:00|22 Sep 2000, 08:05:00|-76.00 Lat, -49.64 Lon;  
22 Sep 2000, 08:05:00|22 Sep 2000, 08:10:00|-68.34 Lat, -121.85 Lon; 
22 Sep 2000, 09:40:00|22 Sep 2000, 09:45:00|-75.80 Lat, -76.36 Lon;  
22 Sep 2000, 09:45:00|22 Sep 2000, 09:50:00|-65.03 Lat, -148.85 Lon; 
22 Sep 2000, 11:20:00|22 Sep 2000, 11:25:00|-74.86 Lat, 21.73 Lon;   
22 Sep 2000, 11:25:00|22 Sep 2000, 11:30:00|-60.86 Lat, 10.19 Lon;   
22 Sep 2000, 12:55:00|22 Sep 2000, 13:00:00|-73.73 Lat, -48.99 Lon;  
22 Sep 2000, 13:00:00|22 Sep 2000, 13:05:00|-72.39 Lat, 2.51 Lon;    
22 Sep 2000, 14:35:00|22 Sep 2000, 14:40:00|-102.30 Lat, 340.57 Lon; 
22 Sep 2000, 14:40:00|22 Sep 2000, 14:45:00|-70.49 Lat, 18.56 Lon;   
22 Sep 2000, 16:15:00|22 Sep 2000, 16:20:00|-74.12 Lat, -1.16 Lon;   
22 Sep 2000, 17:50:00|22 Sep 2000, 17:55:00|-72.90 Lat, -5.12 Lon;   
22 Sep 2000, 17:55:00|22 Sep 2000, 18:00:00|-73.78 Lat, 86.80 Lon;   
22 Sep 2000, 21:05:00|22 Sep 2000, 21:10:00|-64.33 Lat, -1.03 Lon;   
22 Sep 2000, 21:10:00|22 Sep 2000, 21:15:00|-76.30 Lat, -9.76 Lon;   
